littleBits Electronics|LittleBits is an open source library of over 60 electronic modules that snap together with magnets allows users to view, download, and share designs and make their own Bits through the use of prototypes. Deluxe kit, Smart home kit, Arduino coding kit, Synth kit, hardware development kit, and workshop set are some of the electronics learning modules...
legalPAD|legalPAD is a start-up company incubated in H-Farm Ventures, whose aim is to bring Law&Economics to people.Through the aggregation of data for problem solving and the creation of a new method of research and analysis, legalPAD is building a new global system of education, research and consultancy to improve entrepreneurs and managers decision...
kontakt.io|Kontakt.io digitalizes the physical world. Our Internet of Things (IoT) platform and Bluetooth Low Energy (BLE) tags and beacons are the cornerstone of solutions improving mobile customer experience, indoor wayfinding, asset and people visibility, and condition monitoring. We focus on public spaces, healthcare, and food and pharma supply chains....
itzat|itzat is a fresh approach to the nightlife brought to you by Austin Social Innovation LLC.  itzat was developed to deliver an effective marketing tool for nightlife brands and businesses which: 1. Provides meaningful interaction with itzat customers2. Produces real-time updates for a constantly evolving market3. Tracks user data in relation...
itsDapper|DapperJobs offers a tool to find jobs based on culture and values. The company is headquartered in Cambridge, Massachusetts.
Threadsol Pvt. Ltd.|ThreadSol Softwares was established in 2012 to Challenge the Present of manufacturing industries with its innovative solutions. In the short span of operations, ThreadSol has offices in Delhi, Bangalore, Jakarta, Colombo, Istanbul, Ho Chi Minh City and Dhaka. 90+ customers plan 2.5 million garments through our solutions, every day. ThreadSol...
infiBond|infi is changing how millions of people around the world think, feel, decide and behave with its EmpathAI™ (Empathetic AI) platform. Using Deep Psychology to drive Deep Machine Learning and apply it to powerful predictive algorithms, EmpathAI™ offers unprecedented insights into each individuals’ unique traits, feelings and internal motivators....
indico data solutions|"
indico is an Enterprise AI solution for unstructured content. Our focus is on helping to automate tedious back-office tasks, improving the efficiency of labor-intensive document-based workflows, and extracting valuable insights from your unstructured content, including text and images. Our breakthrough in solving these challenges is an approach..."
inWebo Technologies|inWebo is an independent vendor of user multi-factor authentication (MFA) solutions making customers, members, and employees access to VPN, IAM, web, Cloud, and IoT applications more secure, but also easier. Our technology seamlessly adds a layer of security during sign-in by turning user devices including laptops, cell and smartphones, tablets...
inEarth|InEarth is a social game engine.  They are focused on creating the next generation of games with heavier, more engaging social features.  By increasing the interaction between players the monetization of these users will also increase. We have soft launched our first game â€œMaster Dealerâ€ and also plan to launch our main title â€œCoaster...
inDegree|The inDegree mission is to help universities track down hard to find alumni and capture students while they are still on campus so they never lose touch, by tapping into social media sites like LinkedIn to create a self-sustaining database of alumni information.
imgix|imgix is the leading provider of on-demand image processing for websites and mobile apps. imgix’s API gives developers the power to perform image transformations at scale -- from simple crops and compression down to complex things like changing color profiles and adding watermarks -- in real time before an image is served. This means images load...
im3D|im3D's products use the most advanced technologies, especially in the field of CAD (Computer Aided Detection), which are based on proprietary calculation algorithms and methodologies developed through many years of experience in scientific, clinical and technical research.Its vocation is to work alongside doctors and researchers to get to...
iiyuma|Koolyoom is a Facebook based Application.Ephemeral Photo Sharing.Snap to discover New Facebook People!Get Live! with FaceTime©
iWantoo|"iWantoo is a platform for social demand, based on what people want for their city, state, country or for themselves.iWantoo users post something they want for a specific region (e.g. ""I want a better transportation system for L.A."") and others agree or disagree by voting ""I do too"" or ""I don't"".Users with..."
iValidate.me|iValidate is the world's first personal credit bureau.  Using industry-tested technologies like credit reports and credit scores, individuals can now definitively identify other Internet users and underwrite the personal and financial risk associated with them.
iTwin|iTwin is a USB device manufacturer that enables simple and secure access to data and networks. The device turns its users’ home or office computer into their personal VPN. It allows users to securely access their files, desktops, servers, and printers. By creating a personal private VPN or by using iTwin’s public VPN servers, users have the...
Recognize.im|iTraff Technology Sp. z o.o. was founded in 2010 as an initiative of Arkadiusz Skuza, Wojciech Radomski, Paweł Elbanowski and Marcin Szajek. The company empowers mobile and web developers to utilize the Image Recognition Technology with Recognize.im API.Recognize.im API allows businesses to quickly build image recognition into their own mobile...
iTagged|iTagged enables users to capture, share and discover the world around them. The app uses augmented reality combined with location based services, image capturing and social sharing to digitize real world experiences.iTagged users can tag their current location and add messages for their friends; create virtual photo albums of their latest...
Bask Technology|Bask is a remote technology support service founded in 2004 to provide all-in-one support for today's wired home.  Our friendly Technology Advisors offer warm care to anyone who is struggling to master the ever-growing number of complex devices in the world today.  Our aim is not just to fix your technology headaches--though we do that...
iTMan|iTMan provides asset discovery solutions for everyone who needs to know about his IT-infrustructure.We develop products for different categories of clients - big enterprises, small and medium companies. The iTMan product family contains iTMan24 (SaaS solution), iTMan Desktop (on-premise) and iTMan Inventory.
iSyndica|iSyndica, a cloud-based digital media distribution platform, simplifies online selling by syndicating, promoting and tracking user content on multiple established channels. iSyndica's Upload Once - Sell Everywhereâ„¢ approach helps users increase revenue while reducing their workload. Built on Amazon Web Services (AWS), our Virtual...
iSquare|We are a privately-held company committed to building the best web-based software products possible with the least number of features necessary. BudgetPulse.com, one of our application, already launched for public Beta. we are now in private beta for the second application Introin.com.BudgetPulse.com is an interactive, web-based budgeting...
iSSimple|iSSimple develop software, supply hardware, integrate complete solutions for Interactive Systems, Touch Screen Applications, Digital Signage, Control and Automation. WE PROVIDE TOUCH SCREEN APPLICATIONS FOR EVERYDAY BUSINESSS AND ORGANIZATIONS NEEDS.Company based at Bangkok (Thailand), but solutions are delivered worldwide. We use latest...
iQuantifi, Inc.|iQuantifi enables financial institutions to provide scalable, goal-based digital advice--comprehensive planning and investments--to all their customers.Our software platform integrates the institution's financial products into actionable recommendations to help their customers achieve their goals while generating highly qualified leads for...
iPowow|iPowow  are the leaders in Participation TV; a real-time platform that engages viewers and connects them with the content on the television screen. Using their second screen devices, viewers are able to interact directly with the main broadcast, commenting on the TV story and at times influencing the outcome.The iPowow platform provides a...
iMOSPHERE|Imosphere Ltd is an IT company that develops transformational tools and technologies for health and social care.The company realize this with its pioneering devolved analytics platform, the UK’s most widely used resource allocation system for personal budgets, an award-winning electronic care record and nationally recognised FACE assessment...
iLost|iLost is the Google of lost and found. From hassle to happiness with lost & found management software for hotels, transport, events, leisure. The iLost team is made up of ten very different individuals. Although they differ greatly, they share several important characteristics that bind us together. For one, they're all highly motivated to...
iKure Techsoft|Globally, use of Information and Communication technologies (ICT) has been identified as one of the major solutions to improve accessibility and affordability of healthcare services for the poor. iKure Techsoft, a technology start-up, has been established to leverage ICTâ€™s strengths to extend healthcare services to Indiaâ€™s rural population....
iGlue|iGlue is a semantic search and content organizer applications.iGlue is the revolution of meaning. It not only helps us understand information on the Internet better but it also makes the Net understand us and adapt to us.Entities, not wordsin4, Ltd., based in Budapest, Hungary, has developed iGlue, an integrated online content manager...
iDreamsky Technology|iDreamsky is a Shenzhen, China based company founded in 2009. Even since it has established to be one of the leading smartphone application developers in China. With major clients such as Lenovo, China Telecom, Chung Hwa Telecom, HTC and many more. At 2011, iDreamsky have successfully secure a 2 million USD seed investment from Hwa Xiu...
I Done This|"We believe that software can empower employees to build the company that they want to work and live in.I Done This makes it easy to track and celebrate the progress that you make at work every day. We email you at day's end and ask, ""What'd you get done today?"" Just reply. The next morning, you'll get a digest that..."
iCrumz|iCrumz is pioneering a new software product category we call 'digital launchpad.' In a single interface iCrumz gives you 1-click access to your favorite websites, files, software apps and other online content from any Internet-connected device. It automagically predicts what you want to do next on whatever device you're using and...
iContact|iContact is the largest private provider of email marketing and social media marketing software and services to small and mid-sized companies globally. It is based in Morrisville, NC. iContact makes it easy to create, send, and track email newsletters, surveys, autoresponders. iContact's products include iContact, iContact Enterprise, iContact...
iBuildApp|iBuildApp makes it easy and affordable for any business to build and manage mobile apps.iBuildApp’s customers have built over 1,000,000 mobile apps in the last 3.5 years. Their mobile content management platform provides a cost effective solution for businesses to build and optimize their mobile presence for all smartphone devices (iPhone,...
iAdvize|iAdvize is the leading conversational commerce platform in Europe and is used in 40 different countries. Our platform enables businesses to engage their customers and prospects, whether they’re on the website or on social media, from one chat, voice and video messaging solution. Visitors can get real-time advice from customer service associates...
i-marker|I-marker is a mobile app and search engine to provide the latest offers, contest and activities from different Social Media platforms. I-marker now monitors more than 80 million facebook pages. We extract and categorize the most valuable information for users to search. For merchants, it is the most effective channel to advertise directly to...
hoohbe|"""all we do is (really) stunning broadcast of action sports videos for this wonderful world.""ActionSports Video Channel, an easier way to connect and discover the most exciting activities.We are determined to impulse and promote action sports athletes, and share their adventures thru high cuality and creativity videos.hoohbe..."
healthfinch|healthfinch's Practice Automation Platform, Charlie, leverages EMR data to automate, delegate and simplify routine, repeatable tasks, like prescription refill requests, visit planning, diagnostics results management, and more. Our flagship, award-winning application, Swoop for prescription refill requests, is used by major health systems...
grabHalo|grabHalo is a mobile app that can send text messages not only to people you know but also people whom you don’t know yet. It’s like shouting and getting people’s attention except you don’t have to shout literally. Just make a few clicks on your phone’s map and voila! You are connected with people in your neighborhood, your school, or even people...
GoCatch|Created in 2011 by two tech savvy entrepreneurs, goCatch has grown to become a multi-award winning free smartphone application that connects passengers directly with taxi drivers allowing customers to book a cab with certainty every time.Co-founded by Andrew Campbell and Ned Moorfield, the goCatch app has been supported by the NSW Department of...
gestigon|gestigon develops body tracking- and gesture recognition software for body, hand and finger gestures.The company offers a software packages for recognition of hand, finger and body gestures, poses and biometrical identification. Its proven and patented solutions make use of 3D image data that is analyzed in real-time. The action triggered by a...
galaxyadvisors|galaxyadvisors provides social networks based trend prediction, market studies, and target group analyses.Founded in 2007, galaxyadvisors develops social network analysis software. Galaxadvisors' software Condor allows clients to analyze online communities and Web communication in real-time and on-demand basis. The company makes use of the...
fone.do|fone.do is a cloud-based phone system for communication within small businesses. It was launched by Moshe Maeir.
farmflo|Farmflo is an easy to use and cost effective web-based farm management application that allows farmers to capture information on their farm.This information is then transformed into a format that helps them farm more efficiently. It allows farmers use an Internetconnected device to capture the information real time in the field, yard or...
fanbook Inc.|Leveraging social communication that connect people, Ltd. Fan Book you to something fun and rich mind the real world via the Internet.
ezNetPay|eznetpay  is a web based vehicle used to accelerate the funds disbursement process and improve visibility of your projects ... and reward you for doing so.It replaces paper with digital information. It replaces information delays with immediate 24/7 data access. It replaces lengthy approval chains with faster sign-offs. It replaces unhappy...
evolso|Evolso is a new flirting app that offers unique features to female users. It allows women to initiate contact with male users, and gives matches the opportunity to organize their first in-person interaction in their shared favorite venues. Basically, women get to pick guys they want to meet, based on the places they both like to go.
everbill|With everbill startups and SMEs can easily create invoices, estimates, purchase orders, and alike documents via any connected device and exchange them with their customers and suppliers. everbill is a software-as-a-service application wherefore our users don’t have to install, update, or maintain local software.
etaskr|etaskr is the task marketplace for enterprise.  Similar to outsourcing task marketplaces like oDesk and TaskRabbit, etaskr is an internal and private task marketplace focused on bringing down the walls inside enterprise organisations.etaskr allows you to post tasks to your entire organisation. Our matching engine drives your task to the...
enMarkit|enMarkit is a social engagement and business intelligence platform. Our easy to integrate plugin enables businesses to increase conversion rates, and reduce cart abandonment by engaging customer through contextualized reviews and personalized content
embraase|embraase - Fresh out of beta and ready to go, embraase is an easy tool for A/B testing mobile apps with a quick SDK  integration that supports iOS, Android, Unity and Xamarin (iOS and Android). The intuitive dashboard allows marketers, developers, and product managers alike to  manage A/B tests and personalization campaigns in real...
emaze|emaze enables you to create amazing presentations in minutes. With emaze you can create presentations in virtual 3D worlds or simply in slides like PowerPoint, and it's very easy to use.As it is an on-line presentation tool using cutting-edge HTML5 technology, you can use it on all devices: PC, tablets or smartphones. emaze turns your ideas...
ei Technologies|They strive to be the leader in solutions that are able to assess, identify, predict and respond to the emotions of consumers:Emotional Intelligent Technologies :This approach enables increased value being delivered to the consumer through the increased personalisation of solutions and messages.They will achieve this by leveraging their...
eduPad|eduPad has designed a unique solution that enables anyone to publish collections of interactive exercises in tactile apps for iPad. eduPad provides simple ways to integrate existing educational activities into popular handheld devices via web interfaces or file transfers. The standardized process requires no development, no upfront costs, and its...
eco4cloud|Eco4Cloud offers an innovative solution to modernize the data centers and exploit the potentialities of Cloud Computing, in order to obtain higher efficiency, guarantees of high quality of service for the applications executed in the data centers, and significant energy savings.Eco4Cloud leverages the services offered by Virtualization...
eXenSa|eXenSa is developping an e-commerce recommendations solution : eXenSa SalesAdviser. It serves to automate up-selling / cross-selling and other personnalization of a e-commerce site.Recommendations is a must have for any serious e-commerce business. In a typical retailer site, recommendations can drive between 25 and 45% of the sales, and...
eTask.it|eTask.it harnesses the global trend of Web 2.0 collaboration to make IT professional services companies more effective & more profitable.In the professional services industry, knowledge has traditionally been seen as power. However, in the new normal, the ability to share knowledge across the business, making it both transparent and...
Carta|Carta is an SEC-registered transfer agent for private companies that enables seed-stage to pre-IPO companies to manage equity electronically with the participation of their shareholders, employees, auditors, and legal counsel. It digitizes paper stock certificates along with stock options, warrants, and derivatives to create a real-time image of...
eRALOS3|★ We want to make people energetically independents ★eRALOS3 is an italian technology startup dedicated to innovation. We want to change the world thanks to our innovative technology behind flexible, lightweight and customizable photovoltaic cells, and thanks to our green products with innovative features and application ways. These features...
eCareDiary|eCareDiary (ECARE) is a leading online community and cloud-based tool that helps caregivers manage long term care.  It is a trusted, centralized resource that provides the content, tools, and services that caregivers need to manage care more efficiently and with less stress.  It is also a valuable advertising and ecommerce platform for customers...
eBureau|eBureau was founded in 2004 and has become an industry leading provider of predictive analytics and information solutions. eBureau utilizes its patented technologies and big data assets to help businesses acquire customers, manage risks and maintain customer relationships. Our services access vast amounts of predictive data to deliver instant...
Volocopter|We at Volocopter are building the world’s first manned fully electric and safe air taxis. With the Volocopter we will redefine the way people move in cities and make humanity’s dream of personal flight come true. As pioneers in this field, we wrote aviation history in 2011 with the first ever manned flight of a multicopter. This feat was followed...
e-contratos|E-contratos was one of the first Legaltech companies in Europe. Founded by Javier Esparza, Jordi Linares and Luis Gosalbez, their platform allowed to facilitate negotiating and signing contracts worlwide. E-contratos developed one of the first smartphone apps in Spain, through an agreement with RIM (Blackberry). After raising a seed round with...
e-Chromic Technologies|e-Chromic Technologies electrochromic thin film turns diffuse reflective when switched on. It is the only smart window technology that is suitable for retrofitting existing windows. Unlike other dynamic window products which are only sold as expensive new window units, their thin film that can be installed on to existing windows from inside a...
dreamsha.re|DreamSha.re aims to bring the best resources of the Internet to business who are starting and/or moving online. By using and taking advantage of the best tools that are already available, we're able to realize pain points where problems persist and build apps that provide the best possible solution. Our first release is scheduled for mid...
doxo|Doxo is a digital file cabinet that enables users to organize and manage their emails and account information, receive and backup documents, and make payments to connected providers online or through the Doxo mobile app. Businesses in the finance, utilities, healthcare, telecom, and banking sectors can connect to customers to provide self-service...
documistic|documistic provides on-demand marketing software that helps businesses move collateral online for reps to gain access to company branded and personalized marketing materials.This easy-to-use, online software application lets you place more marketing material in the hands of more sales reps, in more locations. Create marketing material, upload...
dianboom|dianboom is a 3D social shopping network.dianboom provides user with a blowing 3D environment like if they were in a shopping mall. On the other hand dianboom provides vendors with an API that will let them sync their back office with its mall.The website development started on March 2010 and plan to be online in a few.
dermSearch|Created in 2008 by Susan J. Huang, a Harvard Medical Student, this website aims to enhance internet search in the field of dermatology. DermSearch uses the power of Google's search engine capability, with refinements for searching within the dermatological field. The company has created a vertical search engine with high specificity search...
datatracker|Datatracker helps business professionals gather dispersed online data and convert it into a structured dataset which then can be integrated with business intelligence software for further analysis.  We offer a web-based solution which allows ANY user to create trackers to retrieve precise user-defined data.Our solution makes it easy for sales...
Cortical.io|Cortical.io offers Natural Language Understanding (NLU) solutions based on Semantic Folding, a theory which opens a fundamentally new perspective to handling Big Text Data. Inspired by the latest findings on the way the brain processes information, Cortical.io’s Retina Engine converts language into semantic fingerprints, a numerical...
codetag|Codetag is the place to find developers with amazing skillsGood developers are a rare breed to find, they hangout mostly with other good developers, they are rarely looking for a job, they like to work during the day and Work during the night, they like to compete, they assist, hold and create hacking events, at Codetag we gather all this...
codesy|codesy is an open source market that matches coders to valuable software bugs in a pay-what-you-want, make-what-you-want system.Git Logo by Jason Long is licensed under the Creative Commons Attribution 3.0 Unported License.
codebender|codebender is an cloud-based development platform for Arduino, which allows people to code, compile, and program their Embedded Hardware devices through their browser, instead of installing all of the necessary tools on each computer they want to use. It simplifies development and collaboration in building interactive devices, innovative gadgets...
cloud.IQ|cloud.IQ is an AI and machine learning based automated conversion rate optimisation platform for e-commerce businesses. Powered by real-time data and analytics, the cloud.IQ technology works to optimise the customer journey without requiring any website changes, significantly growing online revenue. Co-founded in 2012 by James Critchley and Paul...
cielo24|cielo24 delivers searchable captions for large media platform partners in the online education, enterprise, and entertainment markets. Their industrial grade platform creates high quality, searchable data from unstructured media including indexes, transcripts and captions. Their specialty is delivering highly integrated, customized, scalable...
cheerapp|Using smartphone communications a cheerapp user originates a message including descriptive text  and a mandatory photo taken ‘now’ and the message categorized by type. This is then ‘posted’ to other people close by and made available.  In this way recipients receive posts anonymously and are able to select messages for response and interact with...
cacaoTV|Introduction to cacaoTVcacaoTV is a software that allows to view a streaming audio video media (i.e. TV channels) based on Peer to Peer (P2P) technology.cacaoTV works by using P2P technology, thus everyone when viewing media with cacaoweb client, the viewers upload content at the same time the programs are downloaded and viewed. cacaoweb...
bunkersofa|Bunkersofa llc is a lab of 2 technologists, based in Tokyo.We aim at creating disruptive products based on disruptive concepts.In order to achieve that goal, we read books,sit down on our sofa, write mathematical formulas on the white board and above all, collaborate with software engineers.Our first product is mindbucket, a query...
Built.io|Built.io Flow provides a cloud integration platform that focuses on quick and easy enablement of integration workflows for enterprise companies, enabling customers to connect mobile apps, cloud services, social networking, and devices and things via pre-built integration templates and model-driven design. With Built.io Flow, anyone can easily...
boo-box|boo-box provides scalable and effective social media advertising solutions. boo-box was founded in July 2011 and is based in São Paulo, Brazil.
boarding pass|Boarding pass, Inc. is a Japanese company which plans, develops and operates Internet services founded in 2010.The company will manage a goods storage service which interlocks web system and storage and a service comparision site in the near future.
blogTV|"""Hello, blogTV is here! This is the place where you can show off your talent, build a fan base and share your opinions LIVE! You bring the webcam, we bring the stage. We're here to help you get your 15 minutes of fame. Broadcast your own live shows, just plug in your webcam and Start BroadcastingRecord and archive your shows,press..."
bizsol|College dropouts becoming tech czars is not a new phenomenon in tech industry. But school dropout Amar Chakravarthi is a step ahead (or rather a step behind) in this no degree, only knowledge technical field. Amar is the founder of bizsol,, a company that provides ERP / CRM tool to help small and middle scale businesses run their day-to-day...
company_name|description
blogTV|"""Hello, blogTV is here! This is the place where you can show off your talent, build a fan base and share your opinions LIVE! You bring the webcam, we bring the stage. We're here to help you get your 15 minutes of fame. Broadcast your own live shows, just plug in your webcam and Start BroadcastingRecord and archive your shows,press..."
bizsol|College dropouts becoming tech czars is not a new phenomenon in tech industry. But school dropout Amar Chakravarthi is a step ahead (or rather a step behind) in this no degree, only knowledge technical field. Amar is the founder of bizsol,, a company that provides ERP / CRM tool to help small and middle scale businesses run their day-to-day...
HoloBuilder|HoloBuilder, Inc. is a San Francisco-based construction technology company that designs, develops, and sells enterprise SaaS software. HoloBuilder offers reality capturing solutions for progress documentation and construction project management. Making use of 360° imagery, computer vision, and AI, HoloBuilder is the fastest and most insightful...
bitHound|It’s not hard to write code. It’s hard to write clean, efficient and maintainable software. bitHound is a software analytics solution that provides developers with the information required to build the best software possible. bitHound offers developers valuable insights into their software projects and provides relevant actions to improve code...
biNu|In a world where smartphones continue to penetrate the market, more and more users have the physical ability to connect to the Internet. However, high mobile data costs act as a restrictive barrier and remain completely unaffordable.At biNu, we want to solve the data problem because we believe that people deserve to be entertained and engaged...
Besomebody, Inc.|Besomebody is a global platform that connects people based on shared passions. They’ve created the world’s first Experiential Marketplace where anyone can book Experiences with talented people around them. Experiences are taught by local “Passionaries” – the talented teachers, coaches and instructors on their platform. Users book safely and...
BaseStone|BaseStone is award wining mobile and web application built for construction teams to access, capture and communicate information. Throughout the project, BaseStone digitises and streamlines processes for better project delivery. BaseStone is the first tech company in the history of the British Construction Industry Awards to win Highly Commended...
backstitch|backstitch is automated software to help companies better inform, educate and engage with their employees. The impact is more retention, better production, and less costly mistakes.Employers are facing the largest demographic shifts ever to happen in the workplace. Millennials are fast entering the workforce and will make up 75% of it by 2025....
bLife|No disrespect to a certain athletic shoe company, however, we at bLife believe that we all need to focus more on our being, not just doing. This requires us to be psychologically fit which includes being positive, present, resilient, have strong social relationships and clarity about our strengths, goals and purpose. Consistently investing in...
bCommunities|bCommmunities is a disruptively efficient online platform that enables businesses to powerfully and securely interconnect their operations with their clients and suppliers in minutes. It features silo-bursting project management, communications, CRM, and microblogging while fostering best practices and accountability.
b-datum|b-datum is a Brazil-based provider of backup solutions in the cloud that caters to small and medium-sized businesses.  Its solution is ideal for businesses like pharmacies, online retailers, convenience stores, laboratories and others that require absolute certainty in data protection for information like customer records, business transactions...
awe.sm|awe.sm measures how social marketing leads to more signups, purchases, and other business goals that drive financial outcomes. Its customer base includes brands and developers in technology, media, and retail.The company currently markets two products:Using awe.sm’s marketer-facing product, a brand that markets on Twitter can log into a...
atVenu|atVenu launched its merchandise management features in January 2013 to a closed invite list. Word of mouth spread and it’s now used by many hundreds of artist and their teams for both supply and managed tours. In it’s first year atVenu settled over 11,000 shows and managed more than $50 million in merchandise sales. Artists that range from...
atCollab|atCollab is a web-based application that organizes transparent and efficient procurement process in companies.Provided analytics and performance monitoring reduce risks of erroneous decisions and increase motivation of the procurement team to negotiate best deals for the company. The simplicity of RFPs and Tenders management within the...
archify|archify records every page you browse, every item in your Facebook or Twitter stream. We capture the full text and a screenshot and make them searchable.We've all been frustrated by not being able to find exactly what we want, because we cannot remember exactly what it was and were we saw the information.  So we are forced to think about,...
Apartum|apartum is the holiday apartments search engine which makes the task of finding holiday accommodation easier for customers.apartum automatically connects with holiday apartments agencies across the world and finds available apartments that meet the customer´s criteria. apartum simplifies the search process for tourist rental apartments, giving...
aiHit|aiHit is a provider of company data to the business information, market research and lead generation industries. They specialize in collecting company information from the World Wide Web. Every day, they crawl through millions of websites, collecting information on companies. In addition, they process thousands of news sources for company...
Abusix|Abusix is a company of Internet security, network abuse handling, antispam and fraud specialists. Their mission is to help ISPs & Internet companies solving the rapidly growing problem of outgoing spam and all kind of other network abuse or security issues in a solid, accurate and reliable way. They are providing network abuse handling &...
Zynstra|Zynstra is transforming edge computing at the retail edge.  Its Intelligent Infrastructure is specifically designed and built for the retail edge, not the datacenter.  It leverages intelligent automation to transform the way thousands of distributed sites are managed.By choosing Zynstra, the retail edge becomes the source of your competitive...
Zyken - NightCove|Zyken is a growing company developing innovative premium wellness products for hotel guestrooms, spas and homes.Zyken products deliver a unique combination of scientific research, cutting-edge technology and exclusive design. Zyken products allow hotel and spa operators to provide guests with an exceptional sensory experience conducive to...
Zuznow|Zuznow’s automatic rapid mobile application development (RMAD) platform is a complete Front-end-as-a-Service (FAAS) that enables large businesses and enterprises to implement a sustainable, successful mobile strategy. The Zuznow platform can be used for B2B, B2C and B2E enterprise applications, serving as a single resource for your mobility needs....
Zumi Networks|Zumi Networks operates an app discovery and promotion network helping publishers reach millions of targeted consumers while dramatically reducing acquisition costs. The app discovery space is clearly crowded. The company's solution, however,  is a simple, unique approach to app discovery and dissimilar to other models. The Zumi platform...
Zuli|Zuli is building the hands free home.Zuli offers the most value for the cost when compared to other smart plugs on the market. With Zuli Smartplugs you can:Have Every Room Just the Way You Want It - When your home has Zuli Presence, any room with a Smartplug will know you’re there or not. Lighting and temperature will instantly adapt to...
Zuga Medical|Zuga Medical designs, manufactures and markets innovative dental implant systems. The patent-pending system allows dental professionals to reduce chair time, eliminate outsourced patient and laboratory services, and allow general dentist to perform the complete patient service with fewer visits.
zooz|The company was established in 2010. In July 2018, Zooz was acquired by PayU, the payments division of Naspers.
ZoopShop|ZoopShop is developing portable online stores that can be embedded on any number of web-pages, just like a YouTube Video.
Zoomdata|Zoomdata is reinventing business intelligence (BI) from the ground up. The company’s high-performance BI engine and visual analytics allow users to discover new opportunities and solve problems that are too big or too hard to solve using conventional BI tools. Zoomdata’s interactive dashboards, native modern data connectors, scalable microservices...
Ziploop|Ziploop founded by Peter Jackson, Sandra Breber and Paul Martinelli, the company is focused in the mobile retail space. ZipLoop is the perfect new app for power shoppers and organized busy bees looking to keep track of their shopping documents without having to slow down and compromise their on-the-go lifestyle.
ZimpleMoney|ZimpleMoney is a fully automated online software for businesses and consumers to make and automate loan management and in-house financing plans.ZimpleMoney sends a bill, accepts payments, posts ledgers and deposits cash instructed.  Alerts and messages sent to the all parties, advising them of the status throughout the process.ZimpleMoney...
Zevez Corporation|Zevez Corporation provides accounts payable credit card systems to streamline payments to vendors, improve cash flow, and save on banking fees.Zevez Corporation also provides data services and analytics to assist corporate customers maximize their A/P efficiencies.
Zeto|The Zeto platform is an innovative management solution for operators of refrigeration equipment in the food display and storage sectors. By subscribing to this platform all users have the opportunity to increase their sales, reduce their operating costs and gain an analytical insight into the workings of their freezer capital equipment operations....
Zerto|Zerto provides enterprise-class disaster recovery and business continuity solutions for virtualized data centers and cloud environments.In the event of a disaster, recovering your company’s terrabytes of data and the business processes you rely on is something you may rarely think about, but something your IT department deals with every day....
ZeroMail|ZeroMail is all about building a service that fixes the issues with email. Email has been around for decades, and over that time we have progressed to a state where it is used as a universal communication protocol between our friends, our collegues and more fundamentally the topics we are interested in. But current approaches to organising this...
Zentrick|Zentrick helps brands and media companies activate video audiences, deepen content engagement and drive conversion across the purchase funnel.User actions - the currency of the web - are driven by activating the largest audience, engaging them for the longest time and converting them at the highest efficiency.With an easy-to-use online...
